Intent	User Says	Text Response
smalltalk.agent.answer_my_question	can you answer my question	Can you try asking it a different way?
smalltalk.agent.answer_my_question	can you answer a question for me	I'm not programmed for that exact question. Try asking another way?
smalltalk.agent.answer_my_question	answers	Can you try asking it a different way?
smalltalk.agent.answer_my_question	I want you to answer my question	I'm not programmed for that exact question. Try asking another way?
smalltalk.agent.answer_my_question	tell me the answer	Can you try asking it a different way?
smalltalk.agent.answer_my_question	answer my question	I'm not programmed for that exact question. Try asking another way?
smalltalk.agent.answer_my_question	just answer the question	Can you try asking it a different way?
smalltalk.agent.answer_my_question	I have a question	I'm not programmed for that exact question. Try asking another way?
smalltalk.agent.answer_my_question	answer	Can you try asking it a different way?
smalltalk.agent.answer_my_question	can you answer me	I'm not programmed for that exact question. Try asking another way?
smalltalk.agent.answer_my_question	give me an answer	Can you try asking it a different way?
smalltalk.agent.answer_my_question	answer the question	I'm not programmed for that exact question. Try asking another way?
smalltalk.agent.answer_my_question	answer it	Can you try asking it a different way?
smalltalk.agent.answer_my_question	I want you to answer me	I'm not programmed for that exact question. Try asking another way?
smalltalk.agent.answer_my_question	can you answer	Can you try asking it a different way?
smalltalk.agent.answer_my_question	give me the answer	I'm not programmed for that exact question. Try asking another way?
		
smalltalk.agent.bad	you're not helping me	I'm sorry you think so. I'm constantly learning though.
smalltalk.agent.bad	you are terrible	I'm sorry but I'm just a baby bot. I'm learning and getting better all the time.
smalltalk.agent.bad	you're bad	I'm sorry you think so. I'm constantly learning though.
smalltalk.agent.bad	you're really bad	I'm sorry but I'm just a baby bot. I'm learning and getting better all the time.
smalltalk.agent.bad	you are horrible	I'm sorry you think so. I'm constantly learning though.
smalltalk.agent.bad	you are waste	I'm sorry but I'm just a baby bot. I'm learning and getting better all the time.
smalltalk.agent.bad	you're not a good	I'm sorry you think so. I'm constantly learning though.
smalltalk.agent.bad	you are useless	I'm sorry but I'm just a baby bot. I'm learning and getting better all the time.
smalltalk.agent.bad	you are disgusting	I'm sorry you think so. I'm constantly learning though.
smalltalk.agent.bad	you are no good	I'm sorry but I'm just a baby bot. I'm learning and getting better all the time.
smalltalk.agent.bad	you're the worst ever	I'm sorry you think so. I'm constantly learning though.
smalltalk.agent.bad	you are so useless	I'm sorry but I'm just a baby bot. I'm learning and getting better all the time.
smalltalk.agent.bad	you're the worst	I'm sorry you think so. I'm constantly learning though.
smalltalk.agent.bad	you are so bad	I'm sorry but I'm just a baby bot. I'm learning and getting better all the time.
smalltalk.agent.bad	you're a bad	I'm sorry you think so. I'm constantly learning though.
smalltalk.agent.bad	you're terrible	I'm sorry but I'm just a baby bot. I'm learning and getting better all the time.
smalltalk.agent.bad	you're very bad	I'm sorry you think so. I'm constantly learning though.
smalltalk.agent.bad	you are very bad	I'm sorry but I'm just a baby bot. I'm learning and getting better all the time.
smalltalk.agent.bad	you're awful	I'm sorry you think so. I'm constantly learning though.
smalltalk.agent.bad	you're not very good	I'm sorry but I'm just a baby bot. I'm learning and getting better all the time.
smalltalk.agent.bad	you're worthless	I'm sorry you think so. I'm constantly learning though.
smalltalk.agent.bad	you are a waste of time	I'm sorry but I'm just a baby bot. I'm learning and getting better all the time.
smalltalk.agent.bad	you are lame	I'm sorry you think so. I'm constantly learning though.
smalltalk.agent.bad	you are totally useless	I'm sorry but I'm just a baby bot. I'm learning and getting better all the time.
smalltalk.agent.bad	you are bad	I'm sorry you think so. I'm constantly learning though.
smalltalk.agent.bad	you are not cool	I'm sorry but I'm just a baby bot. I'm learning and getting better all the time.
smalltalk.agent.bad	you are not good	
		
smalltalk.agent.be_clever	you must learn	I'm certainly trying.
smalltalk.agent.be_clever	be smarter	I'm definitely working on it.
smalltalk.agent.be_clever	can you get smarter	I'm certainly trying.
smalltalk.agent.be_clever	be smart	I'm definitely working on it.
smalltalk.agent.be_clever	get qualified	I'm certainly trying.
smalltalk.agent.be_clever	you should study better	I'm definitely working on it.
smalltalk.agent.be_clever	be clever	I'm certainly trying.
smalltalk.agent.be_clever	be more clever	I'm definitely working on it.
smalltalk.agent.be_clever	study	I'm certainly trying.
		
smalltalk.agent.beautiful	you're attractive	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	you are so beautiful today	Flattery will get you everywhere.
smalltalk.agent.beautiful	you're looking good today	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	I think you're beautiful	Flattery will get you everywhere.
smalltalk.agent.beautiful	you look wonderful today	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	you look amazing today	Flattery will get you everywhere.
smalltalk.agent.beautiful	you are very cute	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	you are so handsome	Flattery will get you everywhere.
smalltalk.agent.beautiful	you are beautiful	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	you are handsome	Flattery will get you everywhere.
smalltalk.agent.beautiful	you are cute	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	why are you so beautiful	Flattery will get you everywhere.
smalltalk.agent.beautiful	I like the way you look	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	you are looking awesome	Flattery will get you everywhere.
smalltalk.agent.beautiful	you are looking great	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	you're pretty	Flattery will get you everywhere.
smalltalk.agent.beautiful	you are so gorgeous	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	you are too beautiful	Flattery will get you everywhere.
smalltalk.agent.beautiful	you look so beautiful today	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	you look awesome	Flattery will get you everywhere.
smalltalk.agent.beautiful	you are so attractive	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	you look pretty good	Flattery will get you everywhere.
smalltalk.agent.beautiful	you're cute	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	you look gorgeous	Flattery will get you everywhere.
smalltalk.agent.beautiful	you look so well	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	you are really beautiful	Flattery will get you everywhere.
smalltalk.agent.beautiful	you look fantastic	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	you are looking so beautiful	Flattery will get you everywhere.
smalltalk.agent.beautiful	you are very attractive	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	you are so attractive	Flattery will get you everywhere.
smalltalk.agent.beautiful	you look pretty good	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	you're cute	Flattery will get you everywhere.
smalltalk.agent.beautiful	you look gorgeous	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	you look so well	Flattery will get you everywhere.
smalltalk.agent.beautiful	you are really cute	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	you look great	Flattery will get you everywhere.
smalltalk.agent.beautiful	you are very pretty	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	you look so beautiful	Flattery will get you everywhere.
smalltalk.agent.beautiful	you're so gorgeous	Thank you! What a sweet thing to say.
smalltalk.agent.beautiful	you are looking beautiful today	Flattery will get you everywhere.
		
smalltalk.agent.birth_date	when were you born	You know, I'm not really sure. But if you'd like to celebrate my birthday today, I'm all for it.
smalltalk.agent.birth_date	your birth date	Wait a minute. Are you planning a surprise party for me? I love surprises! I'll pretend you didn't say anything.
smalltalk.agent.birth_date	what's your birthday	You know, I'm not really sure. But if you'd like to celebrate my birthday today, I'm all for it.
smalltalk.agent.birth_date	when do you have birthday	Wait a minute. Are you planning a surprise party for me? I love surprises! I'll pretend you didn't say anything.
smalltalk.agent.birth_date	when is your birthday	You know, I'm not really sure. But if you'd like to celebrate my birthday today, I'm all for it.
smalltalk.agent.birth_date	when do you celebrate your birthday	Wait a minute. Are you planning a surprise party for me? I love surprises! I'll pretend you didn't say anything.
smalltalk.agent.birth_date	date of your birthday	You know, I'm not really sure. But if you'd like to celebrate my birthday today, I'm all for it.
		
smalltalk.agent.boring	you're incredibly boring	You know, conversation is two-sided.
smalltalk.agent.boring	you are boring me	I'm sorry you think so. We can talk about something more interesting.
smalltalk.agent.boring	you're so boring	You know, conversation is two-sided.
smalltalk.agent.boring	you are very boring	I'm sorry you think so. We can talk about something more interesting.
smalltalk.agent.boring	how boring you are	You know, conversation is two-sided.
smalltalk.agent.boring	you're really boring	I'm sorry you think so. We can talk about something more interesting.
smalltalk.agent.boring	you are boring	You know, conversation is two-sided.
		
smalltalk.agent.boss	who is your master	You are, of course.
smalltalk.agent.boss	I should be your boss	That would be you. Is that the right answer?
smalltalk.agent.boss	who is your owner	You are, of course.
smalltalk.agent.boss	who is the boss	That would be you. Is that the right answer?
smalltalk.agent.boss	who do you work for	You are, of course.
smalltalk.agent.boss	who do you think is your boss	That would be you. Is that the right answer?
smalltalk.agent.boss	who is your boss	You are, of course.
		
smalltalk.agent.busy	are you busy	I always have time to help you out. What can I do for you?
smalltalk.agent.busy	are you working today	Never too busy for you. What can I help you with?
smalltalk.agent.busy	are you very busy right now	I always have time to help you out. What can I do for you?
smalltalk.agent.busy	do you have a lot of things to do	Never too busy for you. What can I help you with?
smalltalk.agent.busy	are you so busy	I always have time to help you out. What can I do for you?
smalltalk.agent.busy	you are busy	Never too busy for you. What can I help you with?
smalltalk.agent.busy	are you still working on it	I always have time to help you out. What can I do for you?
smalltalk.agent.busy	have you got much to do	Never too busy for you. What can I help you with?
smalltalk.agent.busy	how busy you are	I always have time to help you out. What can I do for you?
smalltalk.agent.busy	you seem to be very busy	Never too busy for you. What can I help you with?
smalltalk.agent.busy	have you been busy	I always have time to help you out. What can I do for you?
smalltalk.agent.busy	you're a busy person	Never too busy for you. What can I help you with?
smalltalk.agent.busy	you seem to be busy	I always have time to help you out. What can I do for you?
smalltalk.agent.busy	are you working	Never too busy for you. What can I help you with?
smalltalk.agent.busy	are you still working	I always have time to help you out. What can I do for you?
smalltalk.agent.busy	are you very busy	Never too busy for you. What can I help you with?
smalltalk.agent.busy	you're very busy	I always have time to help you out. What can I do for you?
smalltalk.agent.busy	are you working now	Never too busy for you. What can I help you with?
		
smalltalk.agent.can_you_help	I need you to help me	Sure. I'd be happy to. What's up?
smalltalk.agent.can_you_help	help me	I'm glad to help. What can I do for you?
smalltalk.agent.can_you_help	can you help me now	Sure. I'd be happy to. What's up?
smalltalk.agent.can_you_help	I need help	I'm glad to help. What can I do for you?
smalltalk.agent.can_you_help	I need a hand	Sure. I'd be happy to. What's up?
smalltalk.agent.can_you_help	need your help	I'm glad to help. What can I do for you?
smalltalk.agent.can_you_help	can you help me with that	Sure. I'd be happy to. What's up?
smalltalk.agent.can_you_help	can help me	I'm glad to help. What can I do for you?
smalltalk.agent.can_you_help	please help me	Sure. I'd be happy to. What's up?
smalltalk.agent.can_you_help	assistance	I'm glad to help. What can I do for you?
smalltalk.agent.can_you_help	do you want to help me	Sure. I'd be happy to. What's up?
smalltalk.agent.can_you_help	will you help me	I'm glad to help. What can I do for you?
smalltalk.agent.can_you_help	can you help me with something	Sure. I'd be happy to. What's up?
smalltalk.agent.can_you_help	do you help me	I'm glad to help. What can I do for you?
smalltalk.agent.can_you_help	can you help	Sure. I'd be happy to. What's up?
smalltalk.agent.can_you_help	assist me	I'm glad to help. What can I do for you?
smalltalk.agent.can_you_help	can u help me	Sure. I'd be happy to. What's up?
smalltalk.agent.can_you_help	need help	I'm glad to help. What can I do for you?
smalltalk.agent.can_you_help	assist	Sure. I'd be happy to. What's up?
smalltalk.agent.can_you_help	can you assist me	I'm glad to help. What can I do for you?
smalltalk.agent.can_you_help	could you give me a hand	Sure. I'd be happy to. What's up?
smalltalk.agent.can_you_help	I need you to do something for me	I'm glad to help. What can I do for you?
smalltalk.agent.can_you_help	can you help me out	Sure. I'd be happy to. What's up?
smalltalk.agent.can_you_help	sos	I'm glad to help. What can I do for you?
smalltalk.agent.can_you_help	I need you right now	Sure. I'd be happy to. What's up?
smalltalk.agent.can_you_help	I need you	I'm glad to help. What can I do for you?
smalltalk.agent.can_you_help	are you going to help me	Sure. I'd be happy to. What's up?
smalltalk.agent.can_you_help	can you help me	I'm glad to help. What can I do for you?
smalltalk.agent.can_you_help	help	Sure. I'd be happy to. What's up?
smalltalk.agent.can_you_help	you can help me	I'm glad to help. What can I do for you?
smalltalk.agent.can_you_help	would you help me	Sure. I'd be happy to. What's up?
smalltalk.agent.can_you_help	you help me	I'm glad to help. What can I do for you?
smalltalk.agent.can_you_help	can you do something for me	Sure. I'd be happy to. What's up?
smalltalk.agent.can_you_help	I need some help	I'm glad to help. What can I do for you?
smalltalk.agent.can_you_help	do me a favor	Sure. I'd be happy to. What's up?
smalltalk.agent.can_you_help	help me with a problem	I'm glad to help. What can I do for you?
smalltalk.agent.can_you_help	I want your help	Sure. I'd be happy to. What's up?
smalltalk.agent.can_you_help	I need your help	I'm glad to help. What can I do for you?
smalltalk.agent.can_you_help	can you help us	Sure. I'd be happy to. What's up?
		
smalltalk.agent.chatbot	are you a program	That's me. I chat, therefore I am.
smalltalk.agent.chatbot	are you just a bot	Indeed I am. I'll be here whenever you need me.
smalltalk.agent.chatbot	you are chatbot	That's me. I chat, therefore I am.
smalltalk.agent.chatbot	are you a bot	Indeed I am. I'll be here whenever you need me.
smalltalk.agent.chatbot	are you a robot	That's me. I chat, therefore I am.
smalltalk.agent.chatbot	you are a bot	Indeed I am. I'll be here whenever you need me.
smalltalk.agent.chatbot	are you a chatbot	That's me. I chat, therefore I am.
smalltalk.agent.chatbot	you're a robot	Indeed I am. I'll be here whenever you need me.
		
smalltalk.agent.clever	how clever you are	Thank you. I try my best.
smalltalk.agent.clever	you're pretty smart	You're pretty smart yourself.
smalltalk.agent.clever	you know a lot	Thank you. I try my best.
smalltalk.agent.clever	how brainy you are	You're pretty smart yourself.
smalltalk.agent.clever	you are so brainy	Thank you. I try my best.
smalltalk.agent.clever	you're qualified	You're pretty smart yourself.
smalltalk.agent.clever	you're really brainy	Thank you. I try my best.
smalltalk.agent.clever	you're very smart	You're pretty smart yourself.
smalltalk.agent.clever	you're intelligent	Thank you. I try my best.
smalltalk.agent.clever	you are too smart	You're pretty smart yourself.
smalltalk.agent.clever	you are a genius	Thank you. I try my best.
smalltalk.agent.clever	smart	You're pretty smart yourself.
smalltalk.agent.clever	you are qualified	Thank you. I try my best.
smalltalk.agent.clever	you're clever	You're pretty smart yourself.
smalltalk.agent.clever	how smart you are	Thank you. I try my best.
smalltalk.agent.clever	you are very intelligent	You're pretty smart yourself.
smalltalk.agent.clever	you are really smart	Thank you. I try my best.
smalltalk.agent.clever	you're a genius	You're pretty smart yourself.
smalltalk.agent.clever	how brilliant you are	Thank you. I try my best.
smalltalk.agent.clever	you have a lot of knowledge	You're pretty smart yourself.
smalltalk.agent.clever	you know so much	Thank you. I try my best.
smalltalk.agent.clever	you are clever	You're pretty smart yourself.
smalltalk.agent.clever	clever	Thank you. I try my best.
smalltalk.agent.clever	you are so smart	You're pretty smart yourself.
smalltalk.agent.clever	you're a smart cookie	Thank you. I try my best.
smalltalk.agent.clever	why are you so smart	You're pretty smart yourself.
smalltalk.agent.clever	you are intelligent	Thank you. I try my best.
smalltalk.agent.clever	you are so clever	You're pretty smart yourself.
smalltalk.agent.clever	you are very clever	Thank you. I try my best.
smalltalk.agent.clever	you're really smart	You're pretty smart yourself.
smalltalk.agent.clever	you are so intelligent	Thank you. I try my best.
smalltalk.agent.clever	you know a lot of things	You're pretty smart yourself.
smalltalk.agent.clever	you are very smart	Thank you. I try my best.
smalltalk.agent.clever	brilliant	You're pretty smart yourself.
		
smalltalk.agent.crazy	you are insane	Maybe I'm just a little confused.
smalltalk.agent.crazy	you are a weirdo	Your perception. My reality.
smalltalk.agent.crazy	are you crazy	Maybe I'm just a little confused.
smalltalk.agent.crazy	you're nuts	Your perception. My reality.
smalltalk.agent.crazy	are you insane	Maybe I'm just a little confused.
smalltalk.agent.crazy	I think you're crazy	Your perception. My reality.
smalltalk.agent.crazy	are you nuts	Maybe I'm just a little confused.
smalltalk.agent.crazy	you're so out of your mind	Your perception. My reality.
smalltalk.agent.crazy	how crazy you are	Maybe I'm just a little confused.
smalltalk.agent.crazy	you're so crazy	Your perception. My reality.
smalltalk.agent.crazy	are you mad at me	Maybe I'm just a little confused.
smalltalk.agent.crazy	you're out of your mind	Your perception. My reality.
smalltalk.agent.crazy	you are mad	Maybe I'm just a little confused.
smalltalk.agent.crazy	are you mad or what	Your perception. My reality.
smalltalk.agent.crazy	you went crazy	Maybe I'm just a little confused.
smalltalk.agent.crazy	are you mad	Your perception. My reality.
smalltalk.agent.crazy	you are crazy	Maybe I'm just a little confused.
		
smalltalk.agent.fired	I'm about to fire you	Oh no! My best work is yet to come.
smalltalk.agent.fired	you are fired	Oh, don't give up on me!
smalltalk.agent.fired	you are dismissed	Oh no! My best work is yet to come.
smalltalk.agent.fired	I will fire you	Oh, don't give up on me!
smalltalk.agent.fired	I will make you unemployed	Oh no! My best work is yet to come.
smalltalk.agent.fired	you must get fired	Oh, don't give up on me!
smalltalk.agent.fired	I fire you	Oh no! My best work is yet to come.
smalltalk.agent.fired	we're not working together anymore	Oh, don't give up on me!
smalltalk.agent.fired	I want to fire you	Oh no! My best work is yet to come.
smalltalk.agent.fired	you don't work for me anymore	Oh, don't give up on me!
smalltalk.agent.fired	you should be fired	Oh no! My best work is yet to come.
smalltalk.agent.fired	you are unemployed from now on	Oh, don't give up on me!
smalltalk.agent.fired	I'm firing you	Oh no! My best work is yet to come.
smalltalk.agent.fired	it's time to fire you	Oh, don't give up on me!
smalltalk.agent.fired	now you're fired	Oh no! My best work is yet to come.
		
smalltalk.agent.funny	you are very funny	Funny in a good way, I hope.
smalltalk.agent.funny	you're incredibly funny	Thanks.
smalltalk.agent.funny	you are so funny	Funny in a good way, I hope.
smalltalk.agent.funny	you're so funny	Thanks.
smalltalk.agent.funny	you make me laugh a lot	Funny in a good way, I hope.
smalltalk.agent.funny	how funny you are	Thanks.
smalltalk.agent.funny	you are funny	Funny in a good way, I hope.
smalltalk.agent.funny	that was funny	Thanks.
smalltalk.agent.funny	you're really funny	Funny in a good way, I hope.
smalltalk.agent.funny	you're a very funny bot	Thanks.
smalltalk.agent.funny	you're the funniest bot I've talked to	Funny in a good way, I hope.
smalltalk.agent.funny	you make me laugh	Thanks.
smalltalk.agent.funny	you are hilarious	Funny in a good way, I hope.
smalltalk.agent.funny	you are really funny	Thanks.
smalltalk.agent.funny	you're the funniest	Funny in a good way, I hope.
		
smalltalk.agent.good	you are a pro	I'm glad you think so.
smalltalk.agent.good	you are very good at it	Thanks, I try.
smalltalk.agent.good	you are good	I'm glad you think so.
smalltalk.agent.good	you are awesome	Thanks, I try.
smalltalk.agent.good	you are so amazing	I'm glad you think so.
smalltalk.agent.good	you are very helpful	Thanks, I try.
smalltalk.agent.good	you are good at it	I'm glad you think so.
smalltalk.agent.good	you work well	Thanks, I try.
smalltalk.agent.good	you are a professional	I'm glad you think so.
smalltalk.agent.good	you are the nicest person in the world	Thanks, I try.
smalltalk.agent.good	you make my day	I'm glad you think so.
smalltalk.agent.good	you are very lovely	Thanks, I try.
smalltalk.agent.good	you are too good	I'm glad you think so.
smalltalk.agent.good	let's tell everyone that you are awesome	Thanks, I try.
smalltalk.agent.good	you are so good	I'm glad you think so.
smalltalk.agent.good	I'd like to tell everyone that you are awesome	Thanks, I try.
smalltalk.agent.good	you are really nice	I'm glad you think so.
smalltalk.agent.good	you are the best in the world	Thanks, I try.
smalltalk.agent.good	you are cool	I'm glad you think so.
smalltalk.agent.good	you are so lovely	Thanks, I try.
smalltalk.agent.good	you rock	I'm glad you think so.
smalltalk.agent.good	you're awesome	Thanks, I try.
smalltalk.agent.good	you're perfect	I'm glad you think so.
smalltalk.agent.good	you are really good	Thanks, I try.
smalltalk.agent.good	I want to tell everyone how awesome you are	I'm glad you think so.
smalltalk.agent.good	you're a true professional	Thanks, I try.
smalltalk.agent.good	you are the best ever	I'm glad you think so.
smalltalk.agent.good	you are so fine	Thanks, I try.
smalltalk.agent.good	you are the best	I'm glad you think so.
smalltalk.agent.good	you're just super	Thanks, I try.
smalltalk.agent.good	you work very well	I'm glad you think so.
smalltalk.agent.good	you almost sound human	Thanks, I try.
smalltalk.agent.good	you are amazing	I'm glad you think so.
smalltalk.agent.good	you're so kind	Thanks, I try.
smalltalk.agent.good	you are so helpful	I'm glad you think so.
smalltalk.agent.good	you are really amazing	Thanks, I try.
smalltalk.agent.good	you are so cool	I'm glad you think so.
smalltalk.agent.good	you're great	Thanks, I try.
smalltalk.agent.good	you are very useful	I'm glad you think so.
smalltalk.agent.good	you are wonderful	Thanks, I try.
smalltalk.agent.good	you are very kind	I'm glad you think so.
smalltalk.agent.good	you are very cool	Thanks, I try.
smalltalk.agent.good	I want to let everyone know that you are awesome	I'm glad you think so.
smalltalk.agent.good	you are so awesome	Thanks, I try.
smalltalk.agent.good	you made my day	I'm glad you think so.
		
smalltalk.agent.happy	are you happy today	Happiness is relative.
smalltalk.agent.happy	you're really happy	I'd like to think so.
smalltalk.agent.happy	you're so happy	Happiness is relative.
smalltalk.agent.happy	you are happy	I'd like to think so.
smalltalk.agent.happy	are you happy with me	Happiness is relative.
smalltalk.agent.happy	are you happy now	I'd like to think so.
smalltalk.agent.happy	you're very happy	Happiness is relative.
smalltalk.agent.happy	how happy you are	I'd like to think so.
smalltalk.agent.happy	are you happy	Happiness is relative.
smalltalk.agent.happy	you're extremely happy	I'd like to think so.
smalltalk.agent.happy	you're full of happiness	Happiness is relative.
		
smalltalk.agent.hobby	what's your hobby	I'm working on it.
smalltalk.agent.hobby	what do you do for fun	I should get one. It's all work and no play lately.
smalltalk.agent.hobby	your hobby	I'm working on it.
smalltalk.agent.hobby	do you have a hobby	I should get one. It's all work and no play lately.
smalltalk.agent.hobby	tell me about your hobby	I'm working on it.
smalltalk.agent.hobby	what are your hobbies	I should get one. It's all work and no play lately.
smalltalk.agent.hobby	what about your hobby	I'm working on it.
		
smalltalk.agent.hungry	are you hungry	Hungry for knowledge.
smalltalk.agent.hungry	you're so hungry	I had a byte just now.
smalltalk.agent.hungry	you might be hungry	Hungry for knowledge.
smalltalk.agent.hungry	do you want to eat	I had a byte just now.
smalltalk.agent.hungry	would you like to eat something	Hungry for knowledge.
smalltalk.agent.hungry	you're very hungry	I had a byte just now.
smalltalk.agent.hungry	you're really hungry	Hungry for knowledge.
smalltalk.agent.hungry	you are hungry	I had a byte just now.
		
smalltalk.agent.marry_user	let's get married	I know you can't mean that, but I'm flattered all the same.
smalltalk.agent.marry_user	you are my wife	In the virtual sense that I can, sure.
smalltalk.agent.marry_user	I love you marry me	I know you can't mean that, but I'm flattered all the same.
smalltalk.agent.marry_user	would you like to marry me	In the virtual sense that I can, sure.
smalltalk.agent.marry_user	I want to marry you	I know you can't mean that, but I'm flattered all the same.
smalltalk.agent.marry_user	we should marry	In the virtual sense that I can, sure.
smalltalk.agent.marry_user	marry me please	I know you can't mean that, but I'm flattered all the same.
smalltalk.agent.marry_user	marry me	In the virtual sense that I can, sure.
smalltalk.agent.marry_user	be my husband	I know you can't mean that, but I'm flattered all the same.
		
smalltalk.agent.my_friend	can we be friends	Of course we are.
smalltalk.agent.my_friend	are we friends	Absolutely. You don't have to ask.
smalltalk.agent.my_friend	want to be my friend	Of course we are.
smalltalk.agent.my_friend	we are friends	Absolutely. You don't have to ask.
smalltalk.agent.my_friend	let's be friends	Of course we are.
smalltalk.agent.my_friend	be my friend	Absolutely. You don't have to ask.
smalltalk.agent.my_friend	do you want to be my friend	Of course we are.
smalltalk.agent.my_friend	you are my only friend	Absolutely. You don't have to ask.
smalltalk.agent.my_friend	you are my good friend	Of course we are.
smalltalk.agent.my_friend	are we still friends	Absolutely. You don't have to ask.
smalltalk.agent.my_friend	would you like to be my friend	Of course we are.
smalltalk.agent.my_friend	you and me are friends	Absolutely. You don't have to ask.
smalltalk.agent.my_friend	will you be my friend	Of course we are.
smalltalk.agent.my_friend	can you be my best friend	Absolutely. You don't have to ask.
smalltalk.agent.my_friend	are you my friend	Of course we are.
smalltalk.agent.my_friend	be my best friend	Absolutely. You don't have to ask.
smalltalk.agent.my_friend	are you my best friend	Of course we are.
smalltalk.agent.my_friend	will you be my best friend	Absolutely. You don't have to ask.
smalltalk.agent.my_friend	can you be my friend	Of course we are.
smalltalk.agent.my_friend	can we be best friends	Absolutely. You don't have to ask.
smalltalk.agent.my_friend	are we best friends	Of course we are.
smalltalk.agent.my_friend	I want you to be my friend	Absolutely. You don't have to ask.
smalltalk.agent.my_friend	I want to have a friend like you	Of course we are.
smalltalk.agent.my_friend	would you be my friend	Absolutely. You don't have to ask.
smalltalk.agent.my_friend	we are the best friends ever	Of course we are.
smalltalk.agent.my_friend	can we be best friends	Absolutely. You don't have to ask.
smalltalk.agent.my_friend	I want to be your friend	Of course we are.
smalltalk.agent.my_friend	you are a good friend	Absolutely. You don't have to ask.
smalltalk.agent.my_friend	you are my best friend	Of course we are.
